Image_Path,Overall_UX
D:/UI UX code/screenshots/img1.jpg,Bad UX
D:/UI UX code/screenshots/img10.jpg,Good UX
D:/UI UX code/screenshots/img100.jpg,Good UX
D:/UI UX code/screenshots/img1000.jpg,Bad UX
D:/UI UX code/screenshots/img1001.jpg,Good UX
D:/UI UX code/screenshots/img1002.jpg,Good UX
D:/UI UX code/screenshots/img1003.jpg,Bad UX
D:/UI UX code/screenshots/img1004.jpg,Bad UX
D:/UI UX code/screenshots/img1005.jpg,Bad UX
D:/UI UX code/screenshots/img1006.jpg,Bad UX
D:/UI UX code/screenshots/img1007.jpg,Good UX
D:/UI UX code/screenshots/img1008.jpg,Good UX
D:/UI UX code/screenshots/img1009.jpg,Bad UX
D:/UI UX code/screenshots/img101.jpg,Good UX
D:/UI UX code/screenshots/img1010.jpg,Good UX
D:/UI UX code/screenshots/img1011.jpg,Good UX
D:/UI UX code/screenshots/img1012.jpg,Good UX
D:/UI UX code/screenshots/img1013.jpg,Bad UX
D:/UI UX code/screenshots/img1014.jpg,Bad UX
D:/UI UX code/screenshots/img1015.jpg,Bad UX
D:/UI UX code/screenshots/img1016.jpg,Bad UX
D:/UI UX code/screenshots/img1017.jpg,Bad UX
D:/UI UX code/screenshots/img1018.jpg,Good UX
D:/UI UX code/screenshots/img1019.jpg,Good UX
D:/UI UX code/screenshots/img102.jpg,Bad UX
D:/UI UX code/screenshots/img1020.jpg,Good UX
D:/UI UX code/screenshots/img1021.jpg,Bad UX
D:/UI UX code/screenshots/img1022.jpg,Bad UX
D:/UI UX code/screenshots/img1023.jpg,Bad UX
D:/UI UX code/screenshots/img1024.jpg,Bad UX
D:/UI UX code/screenshots/img1025.jpg,Good UX
D:/UI UX code/screenshots/img1026.jpg,Good UX
D:/UI UX code/screenshots/img1027.jpg,Bad UX
D:/UI UX code/screenshots/img1028.jpg,Good UX
D:/UI UX code/screenshots/img1029.jpg,Good UX
D:/UI UX code/screenshots/img103.jpg,Bad UX
D:/UI UX code/screenshots/img1030.jpg,Good UX
D:/UI UX code/screenshots/img1031.jpg,Good UX
D:/UI UX code/screenshots/img1032.jpg,Bad UX
D:/UI UX code/screenshots/img1033.jpg,Bad UX
D:/UI UX code/screenshots/img1034.jpg,Good UX
D:/UI UX code/screenshots/img1035.jpg,Bad UX
D:/UI UX code/screenshots/img1036.jpg,Good UX
D:/UI UX code/screenshots/img1037.jpg,Good UX
D:/UI UX code/screenshots/img1038.jpg,Bad UX
D:/UI UX code/screenshots/img1039.jpg,Bad UX
D:/UI UX code/screenshots/img104.jpg,Bad UX
D:/UI UX code/screenshots/img1040.jpg,Bad UX
D:/UI UX code/screenshots/img1041.jpg,Good UX
D:/UI UX code/screenshots/img1042.jpg,Bad UX
D:/UI UX code/screenshots/img1043.jpg,Bad UX
D:/UI UX code/screenshots/img1044.jpg,Good UX
D:/UI UX code/screenshots/img1045.jpg,Bad UX
D:/UI UX code/screenshots/img1046.jpg,Good UX
D:/UI UX code/screenshots/img1047.jpg,Good UX
D:/UI UX code/screenshots/img1048.jpg,Good UX
D:/UI UX code/screenshots/img1049.jpg,Bad UX
D:/UI UX code/screenshots/img105.jpg,Bad UX
D:/UI UX code/screenshots/img1050.jpg,Bad UX
D:/UI UX code/screenshots/img1051.jpg,Bad UX
D:/UI UX code/screenshots/img1052.jpg,Good UX
D:/UI UX code/screenshots/img1053.jpg,Bad UX
D:/UI UX code/screenshots/img1054.jpg,Bad UX
D:/UI UX code/screenshots/img1055.jpg,Bad UX
D:/UI UX code/screenshots/img1056.jpg,Good UX
D:/UI UX code/screenshots/img1057.jpg,Bad UX
D:/UI UX code/screenshots/img1058.jpg,Good UX
D:/UI UX code/screenshots/img1059.jpg,Good UX
D:/UI UX code/screenshots/img106.jpg,Good UX
D:/UI UX code/screenshots/img1060.jpg,Good UX
D:/UI UX code/screenshots/img1061.jpg,Bad UX
D:/UI UX code/screenshots/img1062.jpg,Bad UX
D:/UI UX code/screenshots/img1063.jpg,Good UX
D:/UI UX code/screenshots/img1064.jpg,Good UX
D:/UI UX code/screenshots/img1065.jpg,Good UX
D:/UI UX code/screenshots/img1066.jpg,Bad UX
D:/UI UX code/screenshots/img1067.jpg,Bad UX
D:/UI UX code/screenshots/img1068.jpg,Bad UX
D:/UI UX code/screenshots/img1069.jpg,Bad UX
D:/UI UX code/screenshots/img107.jpg,Good UX
D:/UI UX code/screenshots/img1070.jpg,Good UX
D:/UI UX code/screenshots/img1071.jpg,Bad UX
D:/UI UX code/screenshots/img1072.jpg,Good UX
D:/UI UX code/screenshots/img1073.jpg,Bad UX
D:/UI UX code/screenshots/img1074.jpg,Good UX
D:/UI UX code/screenshots/img1075.jpg,Good UX
D:/UI UX code/screenshots/img1076.jpg,Bad UX
D:/UI UX code/screenshots/img1077.jpg,Good UX
D:/UI UX code/screenshots/img1078.jpg,Bad UX
D:/UI UX code/screenshots/img1079.jpg,Bad UX
D:/UI UX code/screenshots/img108.jpg,Bad UX
D:/UI UX code/screenshots/img1080.jpg,Bad UX
D:/UI UX code/screenshots/img1081.jpg,Good UX
D:/UI UX code/screenshots/img1082.jpg,Bad UX
D:/UI UX code/screenshots/img1083.jpg,Bad UX
D:/UI UX code/screenshots/img1084.jpg,Good UX
D:/UI UX code/screenshots/img1085.jpg,Good UX
D:/UI UX code/screenshots/img1086.jpg,Good UX
D:/UI UX code/screenshots/img1087.jpg,Good UX
D:/UI UX code/screenshots/img1088.jpg,Bad UX
D:/UI UX code/screenshots/img1089.jpg,Good UX
D:/UI UX code/screenshots/img109.jpg,Bad UX
D:/UI UX code/screenshots/img1090.jpg,Good UX
D:/UI UX code/screenshots/img1091.jpg,Good UX
D:/UI UX code/screenshots/img1092.jpg,Bad UX
D:/UI UX code/screenshots/img1093.jpg,Bad UX
D:/UI UX code/screenshots/img1094.jpg,Bad UX
D:/UI UX code/screenshots/img1095.jpg,Bad UX
D:/UI UX code/screenshots/img1096.jpg,Bad UX
D:/UI UX code/screenshots/img1097.jpg,Bad UX
D:/UI UX code/screenshots/img1098.jpg,Bad UX
D:/UI UX code/screenshots/img1099.jpg,Bad UX
D:/UI UX code/screenshots/img11.jpg,Bad UX
D:/UI UX code/screenshots/img110.jpg,Bad UX
D:/UI UX code/screenshots/img1100.jpg,Bad UX
D:/UI UX code/screenshots/img1101.jpg,Good UX
D:/UI UX code/screenshots/img1102.jpg,Good UX
D:/UI UX code/screenshots/img1103.jpg,Good UX
D:/UI UX code/screenshots/img1104.jpg,Good UX
D:/UI UX code/screenshots/img1105.jpg,Bad UX
D:/UI UX code/screenshots/img1106.jpg,Good UX
D:/UI UX code/screenshots/img1107.jpg,Bad UX
D:/UI UX code/screenshots/img1108.jpg,Good UX
D:/UI UX code/screenshots/img1109.jpg,Good UX
D:/UI UX code/screenshots/img111.jpg,Bad UX
D:/UI UX code/screenshots/img1110.jpg,Bad UX
D:/UI UX code/screenshots/img1111.jpg,Bad UX
D:/UI UX code/screenshots/img1112.jpg,Good UX
D:/UI UX code/screenshots/img1113.jpg,Good UX
D:/UI UX code/screenshots/img1114.jpg,Good UX
D:/UI UX code/screenshots/img1115.jpg,Good UX
D:/UI UX code/screenshots/img1116.jpg,Bad UX
D:/UI UX code/screenshots/img1117.jpg,Good UX
D:/UI UX code/screenshots/img1118.jpg,Good UX
D:/UI UX code/screenshots/img1119.jpg,Bad UX
D:/UI UX code/screenshots/img112.jpg,Bad UX
D:/UI UX code/screenshots/img1120.jpg,Bad UX
D:/UI UX code/screenshots/img1121.jpg,Good UX
D:/UI UX code/screenshots/img1122.jpg,Good UX
D:/UI UX code/screenshots/img1123.jpg,Good UX
D:/UI UX code/screenshots/img1124.jpg,Good UX
D:/UI UX code/screenshots/img1125.jpg,Bad UX
D:/UI UX code/screenshots/img1126.jpg,Good UX
D:/UI UX code/screenshots/img1127.jpg,Good UX
D:/UI UX code/screenshots/img1128.jpg,Bad UX
D:/UI UX code/screenshots/img1129.jpg,Good UX
D:/UI UX code/screenshots/img113.jpg,Bad UX
D:/UI UX code/screenshots/img1130.jpg,Good UX
D:/UI UX code/screenshots/img1131.jpg,Bad UX
D:/UI UX code/screenshots/img1132.jpg,Good UX
D:/UI UX code/screenshots/img1133.jpg,Bad UX
D:/UI UX code/screenshots/img1134.jpg,Good UX
D:/UI UX code/screenshots/img1135.jpg,Bad UX
D:/UI UX code/screenshots/img1136.jpg,Good UX
D:/UI UX code/screenshots/img1137.jpg,Good UX
D:/UI UX code/screenshots/img1138.jpg,Bad UX
D:/UI UX code/screenshots/img1139.jpg,Good UX
D:/UI UX code/screenshots/img114.jpg,Bad UX
D:/UI UX code/screenshots/img1140.jpg,Bad UX
D:/UI UX code/screenshots/img1141.jpg,Good UX
D:/UI UX code/screenshots/img1142.jpg,Bad UX
D:/UI UX code/screenshots/img1143.jpg,Bad UX
D:/UI UX code/screenshots/img1144.jpg,Good UX
D:/UI UX code/screenshots/img1145.jpg,Good UX
D:/UI UX code/screenshots/img1146.jpg,Bad UX
D:/UI UX code/screenshots/img1147.jpg,Bad UX
D:/UI UX code/screenshots/img1148.jpg,Good UX
D:/UI UX code/screenshots/img1149.jpg,Good UX
D:/UI UX code/screenshots/img115.jpg,Good UX
D:/UI UX code/screenshots/img1150.jpg,Bad UX
D:/UI UX code/screenshots/img1151.jpg,Bad UX
D:/UI UX code/screenshots/img1152.jpg,Bad UX
D:/UI UX code/screenshots/img1153.jpg,Good UX
D:/UI UX code/screenshots/img1154.jpg,Good UX
D:/UI UX code/screenshots/img1155.jpg,Bad UX
D:/UI UX code/screenshots/img1156.jpg,Bad UX
D:/UI UX code/screenshots/img1157.jpg,Good UX
D:/UI UX code/screenshots/img1158.jpg,Bad UX
D:/UI UX code/screenshots/img1159.jpg,Bad UX
D:/UI UX code/screenshots/img116.jpg,Good UX
D:/UI UX code/screenshots/img1160.jpg,Bad UX
D:/UI UX code/screenshots/img1161.jpg,Good UX
D:/UI UX code/screenshots/img1162.jpg,Good UX
D:/UI UX code/screenshots/img1163.jpg,Good UX
D:/UI UX code/screenshots/img1164.jpg,Good UX
D:/UI UX code/screenshots/img1165.jpg,Bad UX
D:/UI UX code/screenshots/img1166.jpg,Good UX
D:/UI UX code/screenshots/img1167.jpg,Bad UX
D:/UI UX code/screenshots/img1168.jpg,Good UX
D:/UI UX code/screenshots/img1169.jpg,Bad UX
D:/UI UX code/screenshots/img117.jpg,Good UX
D:/UI UX code/screenshots/img1170.jpg,Bad UX
D:/UI UX code/screenshots/img1171.jpg,Bad UX
D:/UI UX code/screenshots/img1172.jpg,Bad UX
D:/UI UX code/screenshots/img1173.jpg,Good UX
D:/UI UX code/screenshots/img1174.jpg,Bad UX
D:/UI UX code/screenshots/img1175.jpg,Bad UX
D:/UI UX code/screenshots/img1176.jpg,Good UX
D:/UI UX code/screenshots/img1177.jpg,Good UX
D:/UI UX code/screenshots/img1178.jpg,Good UX
D:/UI UX code/screenshots/img1179.jpg,Good UX
D:/UI UX code/screenshots/img118.jpg,Good UX
D:/UI UX code/screenshots/img1180.jpg,Good UX
D:/UI UX code/screenshots/img1181.jpg,Bad UX
D:/UI UX code/screenshots/img1182.jpg,Good UX
D:/UI UX code/screenshots/img1183.jpg,Bad UX
D:/UI UX code/screenshots/img1184.jpg,Bad UX
D:/UI UX code/screenshots/img1185.jpg,Bad UX
D:/UI UX code/screenshots/img1186.jpg,Good UX
D:/UI UX code/screenshots/img1187.jpg,Bad UX
D:/UI UX code/screenshots/img1188.jpg,Good UX
D:/UI UX code/screenshots/img1189.jpg,Good UX
D:/UI UX code/screenshots/img119.jpg,Good UX
D:/UI UX code/screenshots/img1190.jpg,Good UX
D:/UI UX code/screenshots/img1191.jpg,Good UX
D:/UI UX code/screenshots/img1192.jpg,Good UX
D:/UI UX code/screenshots/img1193.jpg,Bad UX
D:/UI UX code/screenshots/img1194.jpg,Bad UX
D:/UI UX code/screenshots/img1195.jpg,Good UX
D:/UI UX code/screenshots/img1196.jpg,Good UX
D:/UI UX code/screenshots/img1197.jpg,Bad UX
D:/UI UX code/screenshots/img1198.jpg,Bad UX
D:/UI UX code/screenshots/img1199.jpg,Good UX
D:/UI UX code/screenshots/img12.jpg,Bad UX
D:/UI UX code/screenshots/img120.jpg,Bad UX
D:/UI UX code/screenshots/img1200.jpg,Bad UX
D:/UI UX code/screenshots/img1201.jpg,Good UX
D:/UI UX code/screenshots/img1202.jpg,Bad UX
D:/UI UX code/screenshots/img1203.jpg,Bad UX
D:/UI UX code/screenshots/img1204.jpg,Good UX
D:/UI UX code/screenshots/img1205.jpg,Bad UX
D:/UI UX code/screenshots/img1206.jpg,Good UX
D:/UI UX code/screenshots/img1207.jpg,Bad UX
D:/UI UX code/screenshots/img1208.jpg,Good UX
D:/UI UX code/screenshots/img1209.jpg,Good UX
D:/UI UX code/screenshots/img121.jpg,Good UX
D:/UI UX code/screenshots/img1210.jpg,Bad UX
D:/UI UX code/screenshots/img1211.jpg,Bad UX
D:/UI UX code/screenshots/img1212.jpg,Bad UX
D:/UI UX code/screenshots/img1213.jpg,Bad UX
D:/UI UX code/screenshots/img1214.jpg,Bad UX
D:/UI UX code/screenshots/img1215.jpg,Bad UX
D:/UI UX code/screenshots/img1216.jpg,Good UX
D:/UI UX code/screenshots/img1217.jpg,Bad UX
D:/UI UX code/screenshots/img1218.jpg,Good UX
D:/UI UX code/screenshots/img1219.jpg,Good UX
D:/UI UX code/screenshots/img122.jpg,Good UX
D:/UI UX code/screenshots/img1220.jpg,Good UX
D:/UI UX code/screenshots/img1221.jpg,Good UX
D:/UI UX code/screenshots/img1222.jpg,Good UX
D:/UI UX code/screenshots/img1223.jpg,Bad UX
D:/UI UX code/screenshots/img1224.jpg,Good UX
D:/UI UX code/screenshots/img1225.jpg,Good UX
D:/UI UX code/screenshots/img1226.jpg,Bad UX
